session,candidate_name,matched_text,similarity,context,cue_start
salon-008,Malavika Mandal Andrew,malavika i'm an,0.7,t it okay so i'll try one more time thank you so my name is malavika i'm an artist and my main education is in textile designing i did ,3.99
salon-008,Emily B. Schilling,emily bruton-schilling,0.8,is in here emily would you like to present hi everybody i'm emily bruton-schilling and i'm here from new york city and very excited to be here,3.99
salon-008,Anne Spalter,an alter,0.8,ke collaboratively that if there's a space that you know if an alter an alternate space other than coons matrix for all of the f,3.99
salon-009,Brandon S Gellis,brandon gallis,0.87, thank you gregory all right moving down the list we've got brandon gallis hi yes thank you and thanks for not butchering my last name,3.67
salon-009,Roman Verostko,roman vorosco,0.81, that really split is that when i started working with what roman vorosco an artist inven in minneapolis would call algorithm in othe,3.67
salon-009,Anne Spalter,and spalter,0.87,nter and one of the board members said you know this person and spalter have you heard of her and i hadn't at the time and she said,3.67
salon-010,Anne Morgan Spalter,and michael spalter,0.68,utiful work and the traditional art world really hated them and michael spalter who is a did an art history major at brown said wow this is,4.23
salon-011,Randi Matushevitz,randy matashevitz,0.88,s randy so hold on good to see you still there randy hi i'm randy matashevitz i'm very new to the group but this is my second meeting i c,3.11
salon-011,Matej Vakula,mate bakula,0.87,old on all right there we go i hope it works now my name is mate bakula i'm an artist and also i i'm finishing now my phd at rensse,3.11
salon-012,Verneda Lights,vernetta lights,0.9, they surrounded in plastic for protection i think that was vernetta lights right and so the real world correlate i can you can you be ,6.95
salon-013,Michael Pierre Price,michael pierce,0.82, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b,4.23
salon-013,Michael Pointer,michael pierce,0.83, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b,4.23
salon-013,Leila Pinto,lead into,0.8,se you'd call it and the aesthetics from a few pieces would lead into each other so yeah it does in a way yeah but okay i was jus,4.23
salon-013,Giovanna Sun,giovanna,0.8,u have different periods of work yeah i see a question from giovanna and that's a good question too about she said i have an nft,4.23
salon-014,Deann S Hasinoff,Deann Stein Hasinoff,0.89,ity today we have presenting susan detroi Sherry Karver and Deann Stein Hasinoff hall hassan off i think i said that correctly i hope i did ,3.35
salon-014,Sue Beyer,sue buyer,0.89,hundred pieces after you paid the initial gas fee thanks to sue buyer she actually let let us know about that you know so i jumpe,3.35
salon-014,Andrea Bonaceto,andrea bonaccito,0.9,t about it next next time we have i believe it's so we have andrea bonaccito yeah yeah so lineup andrea actually if you guys hadn't hear,3.35
salon-015,Brandon S Gellis,brandon gillis,0.87,oing to be passing the torch of the exhibition installer to brandon gillis for that that particular installation of the this project h,3.19
salon-015,Michael Strevens,michael reese,0.83,k so within the next couple of days i'm going to be posting michael reese the interview that i did with him last week which is a real,3.19
salon-015,Anne Spalter,ann svalter,0.87,recently talking with people a little bit i remember asking ann svalter about this with working with ai and and recently listening ,3.19
salon-016,Colman Jones,column one,0.82, know i think that's i think it's perfectly fine one of the column one of the i was watching a a youtube video the other day it wa,3.43
salon-016,Gregory Little,greg little,0.88,hat you know like patrick just did his first interview with greg little who is our graduate advisor and you know i would encourage ,3.43
salon-017,Tommy Mintz,tommy mintz's,0.92,timonial about the the value of this is recently like i saw tommy mintz's work that he showed with his photography and the what he cr,4.95
salon-018,Patrick Lichty,patrick lichthe,0.9,ages for a couple other shows my colleague from grad school patrick lichthe and i are curating a show that's going to be an online exhi,8.07
salon-018,Gregory Little,greg little,0.88,st for the next salon which is going to be on june 8th it's greg little who was at bowling green state university he's in in the zo,8.07
salon-018,Patrick Lichty,patrick lichthe,0.9,ages for a couple other shows my colleague from grad school patrick lichthe and i are curating a show that's going to be an online exhi,8.07
salon-020,Cynthia Beth Rubin,cynthia rubin,0.84,where cynthia came from i guess because i was talking about cynthia rubin a second ago wait i kind of love it because you got the las,4.31
salon-020,Michael Pointer,michael another,0.8,ten thousand women thank you oh and we have a question from michael another question like had one chat but he also has something to say,4.31
salon-020,Gregory Little,greg little,0.88, in those giant installations but no one can do it nice and greg little wants to know is are your animations looping they're loopin,4.31
salon-021,Clayton Campbell,colin campbell,0.8,nfluenced by norman mclaren who is a canadian filmmaker was colin campbell who was a canadian video artist and jan swinburne and clive,3.43
salon-023,Cynthia Beth Rubin,cynthia rubin,0.84,chat from earlier which we've kind of already answered from cynthia rubin but she wants to know do you need a gaming interface to use,5.51
salon-023,Rebecca Tombaugh,rebecca tombo,0.83,rtists including two that are presenting today it should be rebecca tombo and cynthia oh god i don't want to butcher your last name d,5.51
salon-024,John Zieman,john lean,0.8,ll the way back to the iphone 4 and and there's a filmmaker john lean and there's a couple of photographers everybody's got their,6.07
salon-025,Brandon S Gellis,brandon gallus,0.8,alavika and ryan henderson and then we have a negin and and brandon gallus or jealous ellis i think ellis yep and then darcy who just ,6.07
salon-025,Carolina Ramonde,caro ramonde,0.86,nother pairing and then michael pointer is also paired with caro ramonde so there's six pairs all together and each pairing produced,6.07
salon-025,David Mew,david m,0.88,re active in the 1980s in digital art which includes myself david m koko khan and michael wright and in in a context of a organ,6.07
salon-025,Mac Premo,mac problem,0.8,s i won't be first okay all right that's that's fine it's a mac problem or a mac security issue i'm i'm ready to i'm cute yeah you ,6.07
salon-026,Carolina Ramonde,carol ramonde,0.9,lose to my middle name because my real name is ramon but so carol ramonde yeah and michael so what do you who wants to speak first go,6.23
salon-026,Andrew Reach,and preach,0.82,hich christ tells his disciples to go ye into all the world and preach the gospel okay to spread the message and the good news of ,6.23
salon-028,Ben Red,be ruled,0.8,ant to do different things i just break out i don't like to be ruled too much by too many strict rules but i do start out with t,5.91
salon-029,Oz Van Rosen,osvan rosen,0.87,ideas in addition to myself steve miller helen harrison and osvan rosen the first salon included artist and theorist patrick lichty,5.43
salon-029,Oz Van Rosen,osvan rosen,0.87,ideas in addition to myself steve miller helen harrison and osvan rosen the first salon included artist and theorist patrick lichty,5.43
salon-029,Andy Wauman,and human,0.8,ow an mk15 and and tools are beautiful and brilliant things and human beings are are pretty brilliant too but where it's all abou,5.43
salon-029,Ben Red,be read,0.86,her that in the original biblical text it's not intended to be read either because it uses mycography little writing so that's ,5.43
salon-029,Sean Mick,sean mc,0.88,guess wants to go if you want to pull his his work up maybe sean mc correct yep all right that's the one the ones that has anim,5.43
salon-029,Gregory Little,greg little,0.88,ned our mfa degrees in computer art together studying under greg little whose work is also included in this exhibition which patric,5.43
salon-029,Alan Kinnard,alan kennard,0.92,ue because i i forgot that we had two so sorry all right so alan kennard i'm here thanks davo all right this piece is part of a seri,5.43
salon-030,RnD Team,red team,0.88,is painting and then it was actually a very like orange and red team based artwork and then last minute i added color correction,5.43
salon-030,Giovanna Sun,giovanna,0.8,ght not be seeing the chat this is true quick quick rundown giovanna has a showcase for specialism at the williamsburg hotel in ,5.43
salon-031,Cynthia Beth Rubin,cynthia rubin,0.84,lly absolutely thank you so much oh we have a question from cynthia rubin you know so i just wanted to jump on that what i wrote in t,5.83
salon-031,Giovanna Sun,giovanna stuff,0.85,lly only have 30 minutes left and i know we need to get the giovanna stuff but i'll try to get through these really quick try to highl,5.83
salon-032,Ben Red,be fired,0.8,gital the guns often want to be in check they don't want to be fired i feel when i'm doing them there's some sort of wrestling m,5.59
salon-033,LINDSAY KOKOSKA,lindsay,0.64,s colin who coined the term to expressionism nina david and lindsay are presenters for today and our wonderful audience of othe,5.91
salon-033,Lee Day,lee okay,0.8,we have that i think Lee Schnaiberg is one of the or no not lee okay he's shaking his eye but yes there are a couple of people t,5.91
salon-034,Michael Farmer,michael earlier,0.83,ations today has been about nfts and our nfts in art i know michael earlier you had you said you had something that you were potentiall,6.07
salon-034,Giovanna Sun,giovanna's son,0.85,bout the how did you find out about the salon i am i follow giovanna's son on clubhouse and we've been in a few rooms together and i s,6.07
salon-034,Michael Roller,michael earlier,0.83,ations today has been about nfts and our nfts in art i know michael earlier you had you said you had something that you were potentiall,6.07
salon-035,Prïnce Magnølïa,prince magnolia,0.8,rst artist and then we have a pair of collaborating artists prince magnolia and st rivera and then rounding out our salon today is Mich,7.11
salon-036,Lee Day,like day,0.8,he canvas and later i took a photo and scanning the digital like day of digital data and then i like randomly like program like ,5.75
salon-037,PATRICK LICHTY,patrick,0.67,ts well my cake is pretty baked okay thanks great all right patrick i know we're at 705 so we're a couple of minutes over over ,5.91
salon-037,Diana de Avila,diana diavila,0.89, to go all right do you have the floor thank you my name is diana diavila can you see this first of all give me a yep okay great i'm ,5.91
salon-037,Ben Red,been re,0.86, actually created in the midst of an insomnia bout and it's been re it's a fractal recreated manipulated and recreated again wi,5.91
salon-040,Andy Thomas,andy thomas's,0.92,just went up and the russian artist muth and this is one of andy thomas's nfts at the top there's nagin's piece which was selected by,7.19
salon-040,Susan Huang,susan any,0.8,out five years of working so okay [Music] awesome thank you susan any okay i think we'll probably hold questions until everyone's,7.19
salon-040,Michael Farmer,michael came,0.85,lly develop it as far as they can like the way that roz and michael came up with this handshake concept or whatever else and you kno,7.19
salon-043,Michael Strevens,Michael ree's,0.83, to me as well about some information about specific pieces Michael ree's sculptures they wanted to know like some information about ,8.23
salon-043,Karen LaFleur,Karen lefur,0.83, great to see you Cynthia Beth rubben all right Vern lights Karen lefur r janusa Darcy garbage nein estaban Neen I should know that,8.23
salon-043,Patrick Lichty,Patrick licky,0.89, maybe book design with that but after I married my husband Patrick licky the technology around us around me was different so suddenl,8.23
salon-043,Darcy Gerbarg,Darcy garbar,0.88,o say your name after all these years really Darcy that I'm Darcy garbar an artist who straddles to I don't think you're seeing this,8.23
salon-043,Anne Spalter,an spalter,0.91, excited about this so without further Ado let's start with an spalter who's going to share her screen thank you so much and I'm g,8.23
salon-043,Giovanna Sun,giovana son,0.87,ge nein estaban Neen I should know that giovana Alias dubom giovana son whose beautiful piece we have to at least acknowledge that ,8.23
salon-043,Gregory Little,Greg Little,0.88,e a painting that I did that was shown in New York in 85 85 Greg Little was there but he's not on now and I showed some digital wor,8.23
salon-043,Verneda Lights,Vern lights,0.88,have an soel great to see you Cynthia Beth rubben all right Vern lights Karen lefur r janusa Darcy garbage nein estaban Neen I shou,8.23
salon-043,Patrick Lichty,Patrick licky,0.89, maybe book design with that but after I married my husband Patrick licky the technology around us around me was different so suddenl,8.23
